StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q11_5_TEXT,Q12,Q12_6_TEXT,Q13,Q14_0_GROUP,Q14_0_1_RANK,Q14_0_2_RANK,Q14_0_3_RANK,Q14_0_4_RANK,Q14_0_5_RANK,Q14_0_6_RANK,Q14_0_7_RANK,Q14_0_8_RANK,Q14_0_9_RANK,Q14_0_10_RANK,Q14_0_11_RANK,Q14_0_12_RANK,Q14_0_13_RANK,Q14_0_14_RANK,Q14_0_15_RANK,Q14_0_16_RANK,Q14_0_17_RANK,Q14_0_18_RANK,Q14_0_19_RANK,Q14_0_20_RANK,Q14_0_21_RANK,Q14_0_22_RANK,Q14_0_23_RANK,Q14_0_24_RANK,Q14_0_25_RANK,Q14_0_26_RANK,Q14_0_27_RANK,Q14_0_28_RANK,Q14_0_29_RANK,Q14_0_30_RANK,Q14_0_31_RANK,Q14_0_32_RANK,Q14_0_33_RANK,Q15,Q16,Q16_7_TEXT,Q17,Q17_7_TEXT,Q18,Q19,Q20,Q21_1,Q21_2,Q21_3,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,combined column,combined column,combined column,combined column,Q31,Q31_17_TEXT,Q32,Q32_10_TEXT,Q33,Q34,,Q35,Q35_10_TEXT,Q36,Q36_10_TEXT,Q37,Q37_6_TEXT,Q38,Q39,calculated column,Q40,Q41,Q42,Q43,Q43_6_TEXT,Q44,Q45,Q45_7_TEXT,Q46,combined column,Q47,Q48,Q49,Q49_2_TEXT,Q50,Q51,Q51_9_TEXT,Q52,Q53,Q54,Q55,Q56,Q57_1,Q57_2,Q57_3,Q57_4,Q58,Q58_5_TEXT,Q59,Q60,Q61,Q61_5_TEXT,Q62,Q63,combined column,Q63_2_TEXT,Q64,Q64_9_TEXT,Q65,Q66,Q67,Q68,Q69,Q70,combined column,Q70_9_TEXT,Q71,Q72,combined column,Q72_9_TEXT,Q73,Q74,Combined column,Q74_9_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Consent,farm.in.us,country,sell.in.us,sole.prop,total.employees,total.handlers,zipcode,farm.open.year,Revenue,certifications,certifications.other,production.unit,production.unit.other,production,varieties,sunflower.rank,peashoots.rank,peatendrils.rank,radish.rank,popcorn.rank,cress.rank,cabbage.rank,basil.rank,rapini.rank,kale.rank,daikon.rank,mustard.rank,amaranth.rank,arugula.rank,bean.rank,beet.rank,broccoli.rank,bokchoy.rank,celery.rank,chard.rank,chervil.rank,chives.rank,cilantro.rank,lemongrass.rank,kohlrabi.rank,mizuna.rank,nasturtium.rank,pakchoy.rank,parsley.rank,peanut.rank,tatsoi.rank,wasabi.rank,other.rank,other.crops.yn,other.crops,other.crops.other,animal.crops,animal.crops.other,system.type,system.loc,env.conditions.yn,humidity,air.temp,water.temp,soil.test.bacteria,soil.test.bact.freq,soil.amend.yn,soil.amend.type,manure.stabile.yn.1,manure.compost.yn,compost.rest.time.1,mix.own.media.yn,mix.own.know.yn,media.base,media.aer,media.fert,growth.media.all,mix.own.ingred,mix.own.ingred.other,media.ingred.general,media.ingred.general.other,h.mix.own.media.yn,h.mix.own.know.yn,h.growth.media.all,h.media.ingred,h.media.ingred.other,h.media.ingred.general,h.media.ingred.gen.other,disposal,disposal.other,media.test.bacteria,media.test.bacteria.freq,media.test.rank,manure.stabilized.yn.2,compost.rest.time.2,water.method,water.source,water.source.other,water.treat.yn,water.treat.method,water.treat.method.other,water.test.bacteria.yn,water.test.all,water.test.bacteria.freq,seed.store.loc,seed.soak.yn,seed.types.soaked,seed.disinfect.yn,seed.disinfect.method,seed.disinfect.method.other,hand.wash.yn,hand.wash.steps,gloves.used.yn,gloves.type,glove.use.steps,clean.freq.tools,clean.freq.preptables,clean.freq.floors,clean.freq.trays,harvest.method,harvest.method.other,living.tray.storage,cut.storage,cut.packaging,cut.packaging.other,presale.storage.hours,post.harvest.wash.yn,var.posthw.all,varieties.posth.washed,posth.wash.method,posth.wash.method.other,wash.warning.yn,wash.warning.type,dates.yn,dates.free.response,lot.number.yn,Documentation,doc.all,documentation.other,education,learn.to.grow,learn.to.grow.all,learn.to.grow.other,training.yn,training.type,training.all,training.type.other
11/13/2018 13:57,11/13/2018 14:24,IP Address,172.56.13.238,100,1634,TRUE,11/13/2018 14:24,R_9uArwosIHzkboQx,,I would like to proceed with the survey.,No,Mexico,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,
11/13/2018 14:08,11/13/2018 14:16,IP Address,47.42.10.177,100,482,TRUE,11/13/2018 14:16,R_2agERWCTZNwmKeq,,I would like to proceed with the survey.,Yes,,,No,2,2,29334,2016,$5000 - $9999,None of these.,,1020 trays/flats,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I only grow microgreens.",,,,,Trays on stacked shelves,Non-climate controlled Greenhouse or hoophouse,,,,,,,,,,,,No,Yes,Organic soil,Vermiculite,none,"Organic soil,Vermiculite","Organic soil,Vermiculite",,,,,,,,,,,We compost it.,,No,No testing,0,,,"Bottom watering or drip irrigation
(Water does not touch microgreens)",Municipal water,,No,Untreated,,Yes,Once per year,Once per year,Room temperature,Yes. List varieties soaked.,Sunflower Pea Split Cilantro Wheatgrass,Yes,Hydrogen peroxide,,Yes,"Before handling seeds,Before harvesting,Before packaging",Yes,Disposable,"While handling seeds,While harvesting,While packaging",Daily or more,Daily or more,2-4 times a week,Once a week,"Cut with scissors/knife,Living Tray",,Room temperature,Refrigerator/Cooler,Plastic,,12,No,None,,,,Yes,It's written on the label,None of these,,No,"Employee Food Safety Training,Cleaning","Employee Food Safety Training,Cleaning",,Bachelors degree,"Internet (websites or videos),Workshop or class","Internet (websites or videos),Workshop or class",,Yes,Produce Safety Alliance,Produce Safety Alliance,
11/13/2018 15:44,11/13/2018 15:57,IP Address,199.102.209.175,100,758,TRUE,11/13/2018 15:57,R_3eqosTXrR3e1cJH,,I would like to proceed with the survey.,Yes,,,Yes,,,50461,2016,$10000 - $24999,None of these.,,pounds,,70,"Pea Shoots,Cabbage,Radish,Broccoli,Other",,1,,3,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,5,Other plants or crops,Vegetables eaten raw (such as lettuce),,,,Trays on stacked shelves,Indoors- commercial,Yes,60,70,60,,,,,,,,No,Yes,Sphagnum peat,Vermiculite,none,"Sphagnum peat,Vermiculite","Sphagnum peat,Vermiculite",,,,,,,,,,,We compost it.,,No,No testing,0,,,"Bottom watering or drip irrigation
(Water does not touch microgreens)",Well/Groundwater,,No,Untreated,,Yes,Once per year,Once per year,Room temperature,Yes. List varieties soaked.,"Pea
Fava",Yes,Hydrogen peroxide,,Yes,"Before handling seeds,Before harvesting,Before packaging",No,,,Daily or more,2-4 times a week,2-4 times a week,Once a month,Other,electric knife,,Refrigerator/Cooler,Plastic,,6,No,None,,,,Yes,It is verbally communicated at the point of sale,best by,by adding 10 days to the date of harvest.  ,No,No routine documentation,No routine documentation,,Associates degree,Internet (websites or videos),Internet (websites or videos),,Yes,"A lecture-based training at work,A food safety training specifically for microgreens","A lecture-based training at work,A food safety training specifically for microgreens",
11/13/2018 16:00,11/13/2018 16:05,IP Address,24.33.73.255,16,281,FALSE,11/20/2018 16:05,R_OxKmZq3Ql6rOpP3,,I would like to proceed with the survey.,Yes,,,Yes,,,45036,2018,$5000 - $9999,None of these.,,Other,Grow in 18x26 pizza dough trays with coco coir substrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2018 16:00,11/13/2018 16:14,IP Address,98.102.2.34,100,790,TRUE,11/13/2018 16:14,R_cwpZbMSZeBnSErn,,I would like to proceed with the survey.,Yes,,,No,3,3,43410,2006,Greater than $50000,None of these.,,ounces,,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other plants or crops,"Fresh herbs,Edible flowers",,,,Container farm (not stacked),Climate controlled greenhouse or hoophouse,Yes,0,70,0,,,,,,,,No,Yes,"Coco coir,Sphagnum peat",none,none,"Coco Coir,Sphagnum peat","Coco Coir,Sphagnum peat",,,,,,,,,,,We compost it.,,No,No testing,0,,,"Overhead watering
(Water touches microgreens.)",Municipal water,,No,Untreated,,I do not know.,Testing Unknown,,Room temperature,No,,No,,,Yes,"Before handling seeds,Before harvesting,Before packaging",No,,,Daily or more,Daily or more,Once a month,2-4 times a week,Cut with scissors/knife,,,Refrigerator/Cooler,Biodegradable plastic,,4,No,None,,,,Yes,It is verbally communicated at the point of sale,None of these,,Yes,Shipping and/or Recieving,Shipping and/or Recieving,,Some college,Other,Trial and error,Self taught ,No,No food safety training,No food safety training,
11/13/2018 16:04,11/13/2018 16:12,IP Address,107.10.54.119,100,451,TRUE,11/13/2018 16:12,R_1eK5eeER8SsGIpv,,I would like to proceed with the survey.,Yes,,,Yes,,,44141,2015,Less than $5000,None of these.,,Other,5x7 coconut fiber pads,,"Broccoli,Daikon,Pea Tendrils,Radish,Mizuna",,,3,4,,,,,,,2,,,,,,1,,,,,,,,,5,,,,,,,,"No, I only grow microgreens.",,,,,Trays on stacked shelves,Indoors- commercial,Yes,40,70,0,,,,,,,,No,Yes,Coco coir,none,none,Coco Coir,Coco Coir,,,,,,,,,,,We compost it.,,No,No testing,0,,,"Overhead watering
(Water touches microgreens.)",Municipal water,,Yes,Reverse osmosis,,No,No testing,,Refrigerator or cooler,No,,Yes,Hydrogen peroxide,,Yes,"Before handling seeds,Before watering,Before harvesting,Before packaging,At random times",Yes,Disposable,"While handling seeds,While selling to customers",Daily or more,Daily or more,2-4 times a week,Daily or more,Living Tray,,Room temperature,,,,0,No,None,,,,Yes,It is verbally communicated at the point of sale,best by,Consumer storage method - refrigerated has longer shelf life than room temperature.,Yes,"Employee Food Safety Training,Cleaning,Shipping and/or Recieving,Standard Operating Procedures","Employee Food Safety Training,Cleaning,Shipping and/or Recieving,Standard Operating Procedures",,Doctoral degree,"A commercial grow kit,Informally from other growers","A commercial kit,Informally from other growers",,Yes,National Restaurant Association ServSafe Course / Certification,National Restaurant Association ServSafe Course / Certification,
11/13/2018 18:04,11/13/2018 18:09,IP Address,99.123.148.155,100,283,TRUE,11/13/2018 18:09,R_3QDxUxh4ireAbJr,,I would like to proceed with the survey.,Yes,,,No,4,2,16686,2013,$5000 - $9999,Certified Organic,,1020 trays/flats,,36,"Sunflower,Pea Shoots,Pea Tendrils,Radish,Popcorn",1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I only grow microgreens.",,,,,Trays on stacked shelves,Indoors- residential,Yes,70,60,0,,,,,,,,No,Yes,Organic soil,none,Green compost,"Green compost,Organic soil","Green compost,Organic soil",,,,,,,,,,,We throw it away.,,No,No testing,0,,,"Bottom watering or drip irrigation
(Water does not touch microgreens)",Well/Groundwater,,Yes,"Sediment / solids filter,Ultraviolet light",,Yes,Once per year,Once per year,Room temperature,Yes. List varieties soaked.,"sunflower, peas",No,,,Yes,At random times,No,,,Daily or more,Once a week,Once a month,Once a month,"Cut with scissors/knife,Living Tray",,Refrigerator/Cooler,Refrigerator/Cooler,Plastic,,8,Yes,"Sunflower,Peas","sunflower, peas",,,Yes,"It's written on the label,It is verbally communicated at the point of sale",use by,based on shelf life of variety (this is a test response),Yes,"Water Testing,Shipping and/or Recieving","Water Testing,Shipping and/or Recieving",,Some college,"Internet (websites or videos),Social media groups","Internet (websites or videos),Social media groups",,No,No food safety training,No food safety training,
11/13/2018 18:23,11/13/2018 18:37,IP Address,65.92.224.11,100,790,TRUE,11/13/2018 18:37,R_1kYzyoMuTIEtxmA,,I would like to proceed with the survey.,No,Canada,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2018 18:31,11/13/2018 18:44,IP Address,216.137.224.218,100,768,TRUE,11/13/2018 18:44,R_3r2ROv0faOYcPOm,,I would like to proceed with the survey.,Yes,,,Yes,,,99645,2018,Less than $5000,None of these.,,1020 trays/flats,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, I only grow microgreens.",,,,,Hydroponics,Indoors- residential,Yes,38,70,68,,,,,,,,,,"Hemp,Paper towels",,,,,,,,No,Yes,"Hemp, paper towels",,Hemp and paper towels,,,We compost it.,,Yes,Testing freq unknown,1,,,,Municipal water,,Yes,Reverse osmosis,,Yes,2 times per year,2 times per year,Refrigerator or cooler,No,,Yes,Hydrogen peroxide,,Yes,"Before handling seeds,Before watering,Before harvesting,Before packaging,At random times",No,,,Daily or more,Daily or more,Daily or more,2-4 times a week,"Cut with scissors/knife,Living Tray",,Room temperature,Refrigerator/Cooler,Customer-provided/reusable container,,4,Yes,All varieties - not specified,All,,,Yes,It's written on the label,use by,From day leaving farm I give them a +7 day date ,No,"Water Testing,Soil or Growth Media Testing,Standard Operating Procedures,Recalls","Water Testing,Soil or Growth Media Testing,Standard Operating Procedures,Recalls",,Some college,"Internet (websites or videos),Other","Internet (websites or videos),Health Fair",Health fair,Yes,City Food Handler's Card Training,City Food Handler Card Training,
