Day,Material,Weight of media (g),Salmonella CFU/mL,Listeria CFU/mL,Salmonella.LOG,Listeria.LOG,Experiment, Lab Notes
Initial,Bacteria in PBS,NA,1.75E+06,8.00E+05,6.243038297,5.90309053,Experiment 1,
Initial,Biostrate,NA,2.45E+06,8.50E+05,6.389166262,5.929419437,Experiment 1,
Initial,Biostrate,NA,2.70E+06,4.50E+05,6.431363925,5.653213479,Experiment 1,
Initial,Biostrate Blank,NA,0.00E+00,0.00E+00,0,0,Experiment 1,
Initial,Coco Coir,NA,2.40E+06,1.10E+06,6.380211423,6.04139308,Experiment 1,
Initial,Coco Coir,NA,2.10E+06,8.50E+05,6.322219502,5.929419437,Experiment 1,
Initial,Coco Coir Blank,NA,0.00E+00,6.00E+05,0,5.778151974,Experiment 1, Note- contaminants, not Salmonella or Listeria
Initial,Hemp,NA,1.70E+06,7.50E+05,6.230449177,5.875061842,Experiment 1,
Initial,Hemp,NA,2.45E+06,3.50E+05,6.389166262,5.544069285,Experiment 1,
Initial,Hemp Blank,NA,0.00E+00,5.50E+05,0,5.740363479,Experiment 1, Note- contaminants, not Salmonella or Listeria
Initial,PBS Only,NA,0.00E+00,0.00E+00,0,0,Experiment 1,
Initial,Soil,NA,1.30E+06,7.50E+05,6.113943686,5.875061842,Experiment 1,
Initial,Soil,NA,2.10E+06,5.00E+05,6.322219502,5.698970873,Experiment 1,
Initial,Soil Blank,NA,0.00E+00,0.00E+00,0,0,Experiment 1,
One Day,Bacteria in PBS,NA,1.75E+06,7.50E+05,6.243038297,5.875061842,Experiment 1,
One Day,Biostrate,NA,1.90E+07,1.15E+07,7.278753624,7.060697878,Experiment 1,
One Day,Biostrate,NA,2.25E+07,1.40E+07,7.352182537,7.146128067,Experiment 1,
One Day,Biostrate Blank,NA,0.00E+00,0.00E+00,0,0,Experiment 1,
One Day,Coco Coir Blank,NA,0.00E+00,0.00E+00,0,0,Experiment 1,
One Day,Coco Coir,NA,1.00E+06,9.50E+05,6.000000434,5.977724062,Experiment 1,
One Day,Coco Coir,NA,2.50E+06,6.00E+05,6.397940182,5.778151974,Experiment 1,
One Day,Hemp,NA,8.10E+07,1.10E+08,7.908485024,8.041392689,Experiment 1,
One Day,Hemp,NA,6.10E+07,2.20E+08,7.785329842,8.342422683,Experiment 1,
One Day,Hemp Blank,NA,0.00E+00,2.50E+05,0,5.397941746,Experiment 1, Note- contaminants, not Salmonella or Listeria
One Day,PBS Only,NA,0.00E+00,0.00E+00,0,0,Experiment 1,
One Day,Soil,NA,3.00E+06,8.50E+05,6.477121399,5.929419437,Experiment 1,
One Day,Soil,NA,5.50E+06,1.40E+06,6.740362768,6.146128346,Experiment 1,
One Day,Soil Blank,NA,0.00E+00,0.00E+00,0,0,Experiment 1,
Six Days,Bacteria in PBS,NA,1.05E+06,0.00E+00,6.021189713,0,Experiment 1,
Six Days,Biostrate,NA,1.40E+07,1.80E+07,7.146128067,7.255272529,Experiment 1,
Six Days,Biostrate,NA,2.70E+07,8.50E+06,7.43136378,6.929418977,Experiment 1,
Six Days,Biostrate Blank,NA,0.00E+00,0.00E+00,0,0,Experiment 1,
Six Days,Coco Coir,NA,3.70E+05,3.00E+05,5.568202898,5.477122702,Experiment 1,
