sample.id,media,condition,sample,time,pathogen,CFU.g,log.CFU
Bios-u1,Biostrate,Unplanted,Contaminated,Initial,Salmonella,1538461.538,6.187086926
Bios-u2,Biostrate,Unplanted,Contaminated,Initial,Salmonella,2031250,6.307763592
Bios-u3,Biostrate,Unplanted,Contaminated,Initial,Salmonella,1307692.308,6.116505901
Bios-p1,Biostrate,Planted,Contaminated,Initial,Salmonella,391666.6667,5.592917721
Bios-p2,Biostrate,Planted,Contaminated,Initial,Salmonella,722222.2222,5.858671449
Bios-p3,Biostrate,Planted,Contaminated,Initial,Salmonella,188333.3333,5.274929499
Bios-bu1,Biostrate,Unplanted,Blank,Initial,Salmonella,0,0
Bios-bu2,Biostrate,Unplanted,Blank,Initial,Salmonella,0,0
Bios-bp1,Biostrate,Planted,Blank,Initial,Salmonella,0,0
Bios-bp2,Biostrate,Planted,Blank,Initial,Salmonella,0,0
Peat-u1,Peat,Unplanted,Contaminated,Initial,Salmonella,31219.5122,4.494440024
Peat-u2,Peat,Unplanted,Contaminated,Initial,Salmonella,872222.2222,5.940627645
Peat-u3,Peat,Unplanted,Contaminated,Initial,Salmonella,200000,5.301032167
Peat-p1,Peat,Planted,Contaminated,Initial,Salmonella,966666.6667,5.985277192
Peat-p2,Peat,Planted,Contaminated,Initial,Salmonella,370212.766,5.568452563
Peat-p3,Peat,Planted,Contaminated,Initial,Salmonella,147023.8095,5.167390625
Peat-bu1,Peat,Unplanted,Blank,Initial,Salmonella,675.6756757,2.830380565
Peat-bu2,Peat,Unplanted,Blank,Initial,Salmonella,0,0
Peat-bp1,Peat,Planted,Blank,Initial,Salmonella,87.71929825,1.948018098
Peat-bp2,Peat,Planted,Blank,Initial,Salmonella,975.6097561,2.989721058
Bios-u1,Biostrate,Unplanted,Contaminated,Harvest,Salmonella,54666666.67,7.737722601
Bios-u2,Biostrate,Unplanted,Contaminated,Harvest,Salmonella,26363636.36,7.421005329
Bios-u3,Biostrate,Unplanted,Contaminated,Harvest,Salmonella,22608695.65,7.354275527
Bios-p1,Biostrate,Planted,Contaminated,Harvest,Salmonella,184848484.8,8.266815897
Bios-p2,Biostrate,Planted,Contaminated,Harvest,Salmonella,311250000,8.493109361
Bios-p3,Biostrate,Planted,Contaminated,Harvest,Salmonella,113500000,8.054995865
Bios-m1,Biostrate,Microgreen,Contaminated,Harvest,Salmonella,2240000,6.350248212
Bios-m2,Biostrate,Microgreen,Contaminated,Harvest,Salmonella,175324.6753,5.24384552
Bios-m3,Biostrate,Microgreen,Contaminated,Harvest,Salmonella,57636.88761,4.760708056
Bios-bu1,Biostrate,Unplanted,Blank,Harvest,Salmonella,TNTC,TNTC
Bios-bu2,Biostrate,Unplanted,Blank,Harvest,Salmonella,TNTC,TNTC
Bios-bp1,Biostrate,Planted,Blank,Harvest,Salmonella,TNTC,TNTC
Bios-bp2,Biostrate,Planted,Blank,Harvest,Salmonella,TNTC,TNTC
Bios-bm1,Biostrate,Microgreen,Blank,Harvest,Salmonella,TNTC,TNTC
Bios-bm2,Biostrate,Microgreen,Blank,Harvest,Salmonella,TNTC,TNTC
Peat-u1,Peat,Unplanted,Contaminated,Harvest,Salmonella,4576.271186,3.660606644
Peat-u2,Peat,Unplanted,Contaminated,Harvest,Salmonella,21538.46154,4.333234842
Peat-u3,Peat,Unplanted,Contaminated,Harvest,Salmonella,5588.235294,3.747352393
